,Names
0,Beef
1,BeetleFly
2,DistalPhalanxOutlineAgeGroup
3,DistalPhalanxOutlineCorrect
4,ECGFiveDays
5,FordA
6,FordB
7,Ham
8,Haptics
9,Herring
10,Mallat
11,MiddlePhalanxTW
12,NonInvasiveFetalECGThorax1
13,ProximalPhalanxOutlineAgeGroup
14,ProximalPhalanxOutlineCorrect
15,ShapeletSim
16,SonyAIBORobotSurface1
17,SonyAIBORobotSurface2
18,TwoLeadECG
19,Wafer
20,Wine
21,Worms
22,WormsTwoClass
23,BME
24,Chinatown
25,EthanolLevel
26,FreezerRegularTrain
27,FreezerSmallTrain
28,Fungi
29,InsectEPGRegularTrain
30,InsectEPGSmallTrain
31,PigAirwayPressure
32,PigArtPressure
33,PigCVP
