,Name,Logistic Regression(error)
0,Adiac,0.5524
1,ArrowHead,0.2286
2,Beef,0.2333
3,BeetleFly,0.25
4,BirdChicken,0.45
5,Car,0.3333
6,CBF,0.4956
7,ChlorineConcentration,0.3737
8,Coffee,0.0
9,Computers,0.416
10,CricketX,0.5026
11,CricketY,0.5205
12,CricketZ,0.5128
13,DiatomSizeReduction,0.085
14,DistalPhalanxOutlineAgeGroup,0.3237
15,DistalPhalanxOutlineCorrect,0.2717
16,DistalPhalanxTW,0.3669
17,Earthquakes,0.3453
18,ECG200,0.18
19,ECG5000,0.0887
20,ECGFiveDays,0.0
21,ElectricDevices,0.5934
22,FaceAll,0.229
23,FaceFour,0.2159
24,FacesUCR,0.2376
25,FiftyWords,0.6286
26,Fish,0.1886
27,FordA,0.0614
28,FordB,0.1889
29,GunPoint,0.1133
30,Ham,0.3333
31,HandOutlines,0.1919
32,Haptics,0.5779
33,Herring,0.3438
34,InlineSkate,0.7291
35,ItalyPowerDemand,0.0914
36,LargeKitchenAppliances,0.4933
37,Lightning2,0.459
38,Lightning7,0.4658
39,Mallat,0.0785
40,Meat,0.15
41,MedicalImages,0.4184
42,MiddlePhalanxOutlineAgeGroup,0.5584
43,MiddlePhalanxOutlineCorrect,0.2543
44,MiddlePhalanxTW,0.4805
45,MoteStrain,0.3131
46,NonInvasiveFetalECGThorax1,0.1639
47,NonInvasiveFetalECGThorax2,0.1333
48,OliveOil,0.4
49,OSULeaf,0.3967
50,PhalangesOutlinesCorrect,0.3112
51,Phoneme,0.8386
52,Plane,0.0095
53,ProximalPhalanxOutlineAgeGroup,0.1854
54,ProximalPhalanxOutlineCorrect,0.1615
55,ProximalPhalanxTW,0.278
56,RefrigerationDevices,0.6373
57,ScreenType,0.6587
58,ShapeletSim,0.2278
59,ShapesAll,0.345
60,SmallKitchenAppliances,0.52
61,SonyAIBORobotSurface1,0.1747
62,SonyAIBORobotSurface2,0.0923
63,Strawberry,0.0892
64,SwedishLeaf,0.1664
65,Symbols,0.1749
66,SyntheticControl,0.3967
67,ToeSegmentation1,0.3816
68,ToeSegmentation2,0.1692
69,Trace,0.14
70,TwoLeadECG,0.1071
71,TwoPatterns,0.5485
72,UWaveGestureLibraryAll,0.3358
73,UWaveGestureLibraryX,0.5854
74,UWaveGestureLibraryY,0.5879
75,UWaveGestureLibraryZ,0.5603
76,Wafer,0.0042
77,Wine,0.3519
78,WordSynonyms,0.721
79,Worms,0.3506
80,WormsTwoClass,0.3377
81,Yoga,0.4167
82,ACSF1,0.48
83,BME,0.0
84,Chinatown,0.0262
85,Crop,0.4358
86,DodgerLoopDay,0.5375
87,DodgerLoopGame,0.1739
88,DodgerLoopWeekend,0.1667
89,EOGHorizontalSignal,0.7901
90,EOGVerticalSignal,0.7348
91,EthanolLevel,0.64
92,FreezerRegularTrain,0.087
93,FreezerSmallTrain,0.3235
94,Fungi,0.0108
95,GunPointAgeSpan,0.1899
96,GunPointMaleVersusFemale,0.0696
97,GunPointOldVersusYoung,0.1587
98,HouseTwenty,0.084
99,InsectEPGRegularTrain,0.1687
100,InsectEPGSmallTrain,0.1606
101,MelbournePedestrian,0.3153
102,MixedShapesSmallTrain,0.2693
103,PigAirwayPressure,0.726
104,PigArtPressure,0.3654
105,PigCVP,0.2308
106,PowerCons,0.1556
107,Rock,0.44
108,SemgHandGenderCh2,0.25
109,SemgHandMovementCh2,0.5956
110,SemgHandSubjectCh2,0.2911
111,SmoothSubspace,0.22
112,UMD,0.2917
