,Names
0,Beef
1,BeetleFly
2,BirdChicken
3,Car
4,ChlorineConcentration
5,DiatomSizeReduction
6,DistalPhalanxOutlineAgeGroup
7,DistalPhalanxOutlineCorrect
8,DistalPhalanxTW
9,Earthquakes
10,ECG5000
11,ECGFiveDays
12,FaceAll
13,Fish
14,FordA
15,FordB
16,GunPoint
17,Ham
18,HandOutlines
19,Haptics
20,Herring
21,ItalyPowerDemand
22,Mallat
23,MiddlePhalanxTW
24,NonInvasiveFetalECGThorax1
25,NonInvasiveFetalECGThorax2
26,OSULeaf
27,ProximalPhalanxOutlineAgeGroup
28,ProximalPhalanxOutlineCorrect
29,ProximalPhalanxTW
30,SonyAIBORobotSurface1
31,SwedishLeaf
32,TwoLeadECG
33,Wine
34,Worms
35,WormsTwoClass
36,ACSF1
37,BME
38,Chinatown
39,EthanolLevel
40,FreezerRegularTrain
41,FreezerSmallTrain
42,Fungi
43,GunPointMaleVersusFemale
44,InsectEPGRegularTrain
45,InsectEPGSmallTrain
46,MelbournePedestrian
47,MixedShapesSmallTrain
48,PigCVP
49,PowerCons
50,SemgHandSubjectCh2
