,Name,Logistic Regression(error)
0,Adiac,0.4322
1,ArrowHead,0.2286
2,Beef,0.1667
3,BeetleFly,0.1
4,BirdChicken,0.25
5,Car,0.2
6,CBF,0.1211
7,ChlorineConcentration,0.3419
8,Coffee,0.0
9,Computers,0.448
10,CricketX,0.4615
11,CricketY,0.4513
12,CricketZ,0.3846
13,DiatomSizeReduction,0.0523
14,DistalPhalanxOutlineAgeGroup,0.3237
15,DistalPhalanxOutlineCorrect,0.2572
16,DistalPhalanxTW,0.3597
17,Earthquakes,0.2662
18,ECG200,0.14
19,ECG5000,0.0696
20,ECGFiveDays,0.0012
21,ElectricDevices,0.5355
22,FaceAll,0.1485
23,FaceFour,0.1591
24,FacesUCR,0.1707
25,FiftyWords,0.3692
26,Fish,0.1314
27,FordA,0.0682
28,FordB,0.2099
29,GunPoint,0.0667
30,Ham,0.381
31,HandOutlines,0.1297
32,Haptics,0.5422
33,Herring,0.3906
34,InlineSkate,0.6509
35,ItalyPowerDemand,0.0418
36,LargeKitchenAppliances,0.416
37,Lightning2,0.2951
38,Lightning7,0.3562
39,Mallat,0.0674
40,Meat,0.0833
41,MedicalImages,0.3342
42,MiddlePhalanxOutlineAgeGroup,0.513
43,MiddlePhalanxOutlineCorrect,0.2337
44,MiddlePhalanxTW,0.461
45,MoteStrain,0.1366
46,NonInvasiveFetalECGThorax1,0.1043
47,NonInvasiveFetalECGThorax2,0.0921
48,OliveOil,0.3
49,OSULeaf,0.3595
50,PhalangesOutlinesCorrect,0.2797
51,Phoneme,0.8539
52,Plane,0.0095
53,ProximalPhalanxOutlineAgeGroup,0.1512
54,ProximalPhalanxOutlineCorrect,0.1443
55,ProximalPhalanxTW,0.2195
56,RefrigerationDevices,0.6427
57,ScreenType,0.592
58,ShapeletSim,0.3944
59,ShapesAll,0.24
60,SmallKitchenAppliances,0.6027
61,SonyAIBORobotSurface1,0.2296
62,SonyAIBORobotSurface2,0.1532
63,Strawberry,0.0622
64,SwedishLeaf,0.1392
65,Symbols,0.1779
66,SyntheticControl,0.0433
67,ToeSegmentation1,0.3553
68,ToeSegmentation2,0.2308
69,Trace,0.14
70,TwoLeadECG,0.0755
71,TwoPatterns,0.099
72,UWaveGestureLibraryAll,0.0821
73,UWaveGestureLibraryX,0.3252
74,UWaveGestureLibraryY,0.383
75,UWaveGestureLibraryZ,0.3875
76,Wafer,0.0062
77,Wine,0.1481
78,WordSynonyms,0.4906
79,Worms,0.3896
80,WormsTwoClass,0.4026
81,Yoga,0.3353
82,ACSF1,0.32
83,BME,0.0
84,Chinatown,0.0321
85,Crop,0.3434
86,DodgerLoopDay,0.5375
87,DodgerLoopGame,0.1812
88,DodgerLoopWeekend,0.029
89,EOGHorizontalSignal,0.5746
90,EOGVerticalSignal,0.5442
91,EthanolLevel,0.498
92,FreezerRegularTrain,0.0354
93,FreezerSmallTrain,0.3168
94,Fungi,0.1398
95,GunPointAgeSpan,0.0823
96,GunPointMaleVersusFemale,0.0032
97,GunPointOldVersusYoung,0.1333
98,HouseTwenty,0.1513
99,InsectEPGRegularTrain,0.0
100,InsectEPGSmallTrain,0.0
101,MelbournePedestrian,0.1767
102,MixedShapesSmallTrain,0.1633
103,PigAirwayPressure,0.9087
104,PigArtPressure,0.8365
105,PigCVP,0.7452
106,PowerCons,0.0389
107,Rock,0.24
108,SemgHandGenderCh2,0.1567
109,SemgHandMovementCh2,0.5222
110,SemgHandSubjectCh2,0.1511
111,SmoothSubspace,0.1333
112,UMD,0.0625
