,Name,Ed
0,Adiac,0.977
1,ArrowHead,0.6914
2,Beef,0.0
3,BeetleFly,0.55
4,BirdChicken,0.575
5,Car,0.7417
6,CBF,0.6678
7,ChlorineConcentration,0.629
8,Coffee,0.0357
9,Computers,0.474
10,CricketX,0.9269
11,CricketY,0.9064
12,CricketZ,0.9128
13,DiatomSizeReduction,0.7124
14,DistalPhalanxOutlineAgeGroup,0.6259
15,DistalPhalanxOutlineCorrect,0.4746
16,DistalPhalanxTW,0.7266
17,Earthquakes,0.4281
18,ECG200,0.485
19,ECG5000,0.5419
20,ECGFiveDays,0.4878
21,ElectricDevices,0.8587
22,FaceAll,0.932
23,FaceFour,0.858
24,FacesUCR,0.938
25,FiftyWords,0.9571
26,Fish,0.8457
27,FordA,0.4898
28,FordB,0.5056
29,GunPoint,0.4967
30,Ham,0.3476
31,HandOutlines,0.4689
32,Haptics,0.7955
33,Herring,0.4609
34,InlineSkate,0.8636
35,ItalyPowerDemand,0.4981
36,LargeKitchenAppliances,0.4187
37,Lightning2,0.4918
38,Lightning7,0.8493
39,Mallat,0.8759
40,Meat,0.0083
41,MedicalImages,0.7316
42,MiddlePhalanxOutlineAgeGroup,0.6656
43,MiddlePhalanxOutlineCorrect,0.4845
44,MiddlePhalanxTW,0.7532
45,MoteStrain,0.5124
46,NonInvasiveFetalECGThorax1,0.9728
47,NonInvasiveFetalECGThorax2,0.9751
48,OliveOil,0.0667
49,OSULeaf,0.8285
50,PhalangesOutlinesCorrect,0.4703
51,Phoneme,0.9393
52,Plane,0.9143
53,ProximalPhalanxOutlineAgeGroup,0.5878
54,ProximalPhalanxOutlineCorrect,0.3849
55,ProximalPhalanxTW,0.7439
56,RefrigerationDevices,0.5
57,ScreenType,0.644
58,ShapeletSim,0.4833
59,ShapesAll,0.8733
60,SmallKitchenAppliances,0.316
61,SonyAIBORobotSurface1,0.5233
62,SonyAIBORobotSurface2,0.4617
63,Strawberry,0.5378
64,SwedishLeaf,0.9256
65,Symbols,0.8387
66,SyntheticControl,0.7583
67,ToeSegmentation1,0.5154
68,ToeSegmentation2,0.4346
69,Trace,0.735
70,TwoLeadECG,0.4925
71,TwoPatterns,0.7556
72,UWaveGestureLibraryAll,0.874
73,UWaveGestureLibraryX,0.8656
74,UWaveGestureLibraryY,0.8712
75,UWaveGestureLibraryZ,0.8788
76,Wafer,0.1336
77,Wine,0.1667
78,WordSynonyms,0.9185
79,Worms,0.8377
80,WormsTwoClass,0.4351
81,Yoga,0.4833
82,ACSF1,0.62
83,BME,0.0
84,Chinatown,0.5816
85,Crop,0.9015
86,DodgerLoopDay,1.0
87,DodgerLoopGame,1.0
88,DodgerLoopWeekend,1.0
89,EOGHorizontalSignal,0.5097
90,EOGVerticalSignal,0.9033
91,EthanolLevel,0.732
92,FreezerRegularTrain,0.5028
93,FreezerSmallTrain,0.5039
94,Fungi,0.8629
95,GunPointAgeSpan,0.4984
96,GunPointMaleVersusFemale,0.5095
97,GunPointOldVersusYoung,0.4921
98,HouseTwenty,0.3992
99,InsectEPGRegularTrain,0.7088
100,InsectEPGSmallTrain,0.6807
101,MelbournePedestrian,0.8458
102,MixedShapesSmallTrain,0.6887
103,PigAirwayPressure,0.9688
104,PigArtPressure,0.9712
105,PigCVP,0.9639
106,PowerCons,0.475
107,Rock,0.76
108,SemgHandGenderCh2,0.6108
109,SemgHandMovementCh2,0.8144
110,SemgHandSubjectCh2,0.7256
111,SmoothSubspace,0.6333
112,UMD,0.5382
