,Names
0,BirdChicken
1,Car
2,CBF
3,Computers
4,CricketX
5,CricketY
6,CricketZ
7,DistalPhalanxOutlineCorrect
8,Earthquakes
9,ECG5000
10,ElectricDevices
11,FaceAll
12,FaceFour
13,FacesUCR
14,FiftyWords
15,Fish
16,FordA
17,FordB
18,Haptics
19,Herring
20,InlineSkate
21,LargeKitchenAppliances
22,Lightning2
23,Lightning7
24,MedicalImages
25,OSULeaf
26,Phoneme
27,Plane
28,ProximalPhalanxTW
29,RefrigerationDevices
30,ScreenType
31,ShapeletSim
32,ShapesAll
33,SmallKitchenAppliances
34,SwedishLeaf
35,Symbols
36,SyntheticControl
37,ToeSegmentation1
38,ToeSegmentation2
39,Trace
40,TwoLeadECG
41,TwoPatterns
42,UWaveGestureLibraryAll
43,UWaveGestureLibraryX
44,UWaveGestureLibraryY
45,UWaveGestureLibraryZ
46,WordSynonyms
47,Worms
48,Yoga
49,ACSF1
50,Chinatown
51,DodgerLoopDay
52,DodgerLoopGame
53,DodgerLoopWeekend
54,EOGHorizontalSignal
55,EOGVerticalSignal
56,EthanolLevel
57,FreezerRegularTrain
58,HouseTwenty
59,PigAirwayPressure
60,PigCVP
61,Rock
62,SemgHandMovementCh2
63,SemgHandSubjectCh2
64,UMD
