,Name,Ed
0,Adiac,0.3939
1,ArrowHead,0.2114
2,Beef,0.3333
3,BeetleFly,0.25
4,BirdChicken,0.45
5,Car,0.2667
6,CBF,0.1478
7,ChlorineConcentration,0.3477
8,Coffee,0.0
9,Computers,0.436
10,CricketX,0.4282
11,CricketY,0.4308
12,CricketZ,0.4179
13,DiatomSizeReduction,0.0686
14,DistalPhalanxOutlineAgeGroup,0.3813
15,DistalPhalanxOutlineCorrect,0.2754
16,DistalPhalanxTW,0.3813
17,Earthquakes,0.295
18,ECG200,0.11
19,ECG5000,0.0756
20,ECGFiveDays,0.2021
21,ElectricDevices,0.4496
22,FaceAll,0.2929
23,FaceFour,0.2386
24,FacesUCR,0.2307
25,FiftyWords,0.3692
26,Fish,0.2114
27,FordA,0.3311
28,FordB,0.3975
29,GunPoint,0.1
30,Ham,0.4
31,HandOutlines,0.1351
32,Haptics,0.6299
33,Herring,0.4531
34,InlineSkate,0.6545
35,ItalyPowerDemand,0.0447
36,LargeKitchenAppliances,0.5093
37,Lightning2,0.2623
38,Lightning7,0.4247
39,Mallat,0.0878
40,Meat,0.0667
41,MedicalImages,0.3184
42,MiddlePhalanxOutlineAgeGroup,0.474
43,MiddlePhalanxOutlineCorrect,0.2268
44,MiddlePhalanxTW,0.513
45,MoteStrain,0.1222
46,NonInvasiveFetalECGThorax1,0.1756
47,NonInvasiveFetalECGThorax2,0.1191
48,OliveOil,0.1333
49,OSULeaf,0.4917
50,PhalangesOutlinesCorrect,0.2343
51,Phoneme,0.8935
52,Plane,0.0381
53,ProximalPhalanxOutlineAgeGroup,0.2146
54,ProximalPhalanxOutlineCorrect,0.1924
55,ProximalPhalanxTW,0.2927
56,RefrigerationDevices,0.608
57,ScreenType,0.64
58,ShapeletSim,0.4778
59,ShapesAll,0.25
60,SmallKitchenAppliances,0.656
61,SonyAIBORobotSurface1,0.3028
62,SonyAIBORobotSurface2,0.1375
63,Strawberry,0.0541
64,SwedishLeaf,0.2144
65,Symbols,0.1045
66,SyntheticControl,0.1233
67,ToeSegmentation1,0.3377
68,ToeSegmentation2,0.1846
69,Trace,0.24
70,TwoLeadECG,0.2529
71,TwoPatterns,0.0938
72,UWaveGestureLibraryAll,0.0522
73,UWaveGestureLibraryX,0.2594
74,UWaveGestureLibraryY,0.3372
75,UWaveGestureLibraryZ,0.3501
76,Wafer,0.0045
77,Wine,0.3889
78,WordSynonyms,0.3918
79,Worms,0.5714
80,WormsTwoClass,0.4286
81,Yoga,0.1647
82,ACSF1,0.46
83,BME,0.0
84,Chinatown,0.0583
85,Crop,0.2706
86,DodgerLoopDay,0.4875
87,DodgerLoopGame,0.1884
88,DodgerLoopWeekend,0.1014
89,EOGHorizontalSignal,0.5552
90,EOGVerticalSignal,0.6271
91,EthanolLevel,0.724
92,FreezerRegularTrain,0.1954
93,FreezerSmallTrain,0.3242
94,Fungi,0.1613
95,GunPointAgeSpan,0.0316
96,GunPointMaleVersusFemale,0.0032
97,GunPointOldVersusYoung,0.0
98,HouseTwenty,0.3193
99,InsectEPGRegularTrain,0.0
100,InsectEPGSmallTrain,0.0
101,MelbournePedestrian,0.1013
102,MixedShapesSmallTrain,0.1666
103,PigAirwayPressure,0.9087
104,PigArtPressure,0.7115
105,PigCVP,0.8606
106,PowerCons,0.0222
107,Rock,0.36
108,SemgHandGenderCh2,0.1083
109,SemgHandMovementCh2,0.4067
110,SemgHandSubjectCh2,0.2156
111,SmoothSubspace,0.0533
112,UMD,0.1806
