,Name,Ed
0,Adiac,0.3887
1,ArrowHead,0.2
2,Beef,0.3333
3,BeetleFly,0.25
4,BirdChicken,0.45
5,Car,0.2667
6,CBF,0.1478
7,ChlorineConcentration,0.35
8,Coffee,0.0
9,Computers,0.424
10,CricketX,0.4231
11,CricketY,0.4333
12,CricketZ,0.4128
13,DiatomSizeReduction,0.0654
14,DistalPhalanxOutlineAgeGroup,0.3741
15,DistalPhalanxOutlineCorrect,0.2826
16,DistalPhalanxTW,0.3669
17,Earthquakes,0.2878
18,ECG200,0.12
19,ECG5000,0.0751
20,ECGFiveDays,0.2033
21,ElectricDevices,0.4492
22,FaceAll,0.2864
23,FaceFour,0.2159
24,FacesUCR,0.2307
25,FiftyWords,0.3692
26,Fish,0.2171
27,FordA,0.3348
28,FordB,0.3938
29,GunPoint,0.0867
30,Ham,0.4
31,HandOutlines,0.1378
32,Haptics,0.6299
33,Herring,0.4844
34,InlineSkate,0.6582
35,ItalyPowerDemand,0.0447
36,LargeKitchenAppliances,0.5067
37,Lightning2,0.2459
38,Lightning7,0.4247
39,Mallat,0.0857
40,Meat,0.0667
41,MedicalImages,0.3158
42,MiddlePhalanxOutlineAgeGroup,0.4805
43,MiddlePhalanxOutlineCorrect,0.2337
44,MiddlePhalanxTW,0.487
45,MoteStrain,0.1214
46,NonInvasiveFetalECGThorax1,0.171
47,NonInvasiveFetalECGThorax2,0.1201
48,OliveOil,0.1333
49,OSULeaf,0.4793
50,PhalangesOutlinesCorrect,0.2389
51,Phoneme,0.8908
52,Plane,0.0381
53,ProximalPhalanxOutlineAgeGroup,0.2146
54,ProximalPhalanxOutlineCorrect,0.1924
55,ProximalPhalanxTW,0.2927
56,RefrigerationDevices,0.6053
57,ScreenType,0.64
58,ShapeletSim,0.4611
59,ShapesAll,0.2483
60,SmallKitchenAppliances,0.6587
61,SonyAIBORobotSurface1,0.3045
62,SonyAIBORobotSurface2,0.1406
63,Strawberry,0.0541
64,SwedishLeaf,0.2112
65,Symbols,0.1005
66,SyntheticControl,0.12
67,ToeSegmentation1,0.3202
68,ToeSegmentation2,0.1923
69,Trace,0.24
70,TwoLeadECG,0.2529
71,TwoPatterns,0.0933
72,UWaveGestureLibraryAll,0.0519
73,UWaveGestureLibraryX,0.2607
74,UWaveGestureLibraryY,0.3384
75,UWaveGestureLibraryZ,0.3504
76,Wafer,0.0045
77,Wine,0.3889
78,WordSynonyms,0.3824
79,Worms,0.5455
80,WormsTwoClass,0.3896
81,Yoga,0.1697
82,ACSF1,0.46
83,BME,0.0
84,Chinatown,0.0554
85,Crop,0.2718
86,DodgerLoopDay,0.475
87,DodgerLoopGame,0.1884
88,DodgerLoopWeekend,0.1014
89,EOGHorizontalSignal,0.558
90,EOGVerticalSignal,0.6381
91,EthanolLevel,0.726
92,FreezerRegularTrain,0.1951
93,FreezerSmallTrain,0.3242
94,Fungi,0.1613
95,GunPointAgeSpan,0.0316
96,GunPointMaleVersusFemale,0.0063
97,GunPointOldVersusYoung,0.0
98,HouseTwenty,0.3193
99,InsectEPGRegularTrain,0.0
100,InsectEPGSmallTrain,0.0
101,MelbournePedestrian,0.1021
102,MixedShapesSmallTrain,0.1645
103,PigAirwayPressure,0.9087
104,PigArtPressure,0.7115
105,PigCVP,0.8606
106,PowerCons,0.0222
107,Rock,0.36
108,SemgHandGenderCh2,0.1017
109,SemgHandMovementCh2,0.4022
110,SemgHandSubjectCh2,0.2089
111,SmoothSubspace,0.0467
112,UMD,0.1944
