,Name,Ed
0,Adiac,0.2711
1,ArrowHead,0.1657
2,Beef,0.3333
3,BeetleFly,0.45
4,BirdChicken,0.4
5,Car,0.2167
6,CBF,0.3444
7,ChlorineConcentration,0.3487
8,Coffee,0.0357
9,Computers,0.428
10,CricketX,0.5077
11,CricketY,0.4821
12,CricketZ,0.4667
13,DiatomSizeReduction,0.0784
14,DistalPhalanxOutlineAgeGroup,0.3741
15,DistalPhalanxOutlineCorrect,0.2899
16,DistalPhalanxTW,0.3813
17,Earthquakes,0.3741
18,ECG200,0.08
19,ECG5000,0.0796
20,ECGFiveDays,0.1986
21,ElectricDevices,0.4724
22,FaceAll,0.3018
23,FaceFour,0.2273
24,FacesUCR,0.281
25,FiftyWords,0.4989
26,Fish,0.2686
27,FordA,0.3591
28,FordB,0.4383
29,GunPoint,0.0933
30,Ham,0.3905
31,HandOutlines,0.1568
32,Haptics,0.6461
33,Herring,0.5312
34,InlineSkate,0.6673
35,ItalyPowerDemand,0.0428
36,LargeKitchenAppliances,0.464
37,Lightning2,0.2131
38,Lightning7,0.3973
39,Mallat,0.1313
40,Meat,0.0667
41,MedicalImages,0.3118
42,MiddlePhalanxOutlineAgeGroup,0.4805
43,MiddlePhalanxOutlineCorrect,0.2543
44,MiddlePhalanxTW,0.5519
45,MoteStrain,0.2308
46,NonInvasiveFetalECGThorax1,0.1883
47,NonInvasiveFetalECGThorax2,0.1272
48,OliveOil,0.1
49,OSULeaf,0.4504
50,PhalangesOutlinesCorrect,0.2611
51,Phoneme,0.9246
52,Plane,0.0381
53,ProximalPhalanxOutlineAgeGroup,0.2585
54,ProximalPhalanxOutlineCorrect,0.2165
55,ProximalPhalanxTW,0.322
56,RefrigerationDevices,0.6
57,ScreenType,0.68
58,ShapeletSim,0.5
59,ShapesAll,0.3017
60,SmallKitchenAppliances,0.6667
61,SonyAIBORobotSurface1,0.3178
62,SonyAIBORobotSurface2,0.191
63,Strawberry,0.0595
64,SwedishLeaf,0.1408
65,Symbols,0.2392
66,SyntheticControl,0.3733
67,ToeSegmentation1,0.4298
68,ToeSegmentation2,0.2769
69,Trace,0.23
70,TwoLeadECG,0.2406
71,TwoPatterns,0.452
72,UWaveGestureLibraryAll,0.1887
73,UWaveGestureLibraryX,0.4698
74,UWaveGestureLibraryY,0.5039
75,UWaveGestureLibraryZ,0.486
76,Wafer,0.0075
77,Wine,0.4259
78,WordSynonyms,0.5031
79,Worms,0.5844
80,WormsTwoClass,0.3766
81,Yoga,0.1953
82,ACSF1,0.5
83,BME,0.0
84,Chinatown,0.0671
85,Crop,0.3249
86,DodgerLoopDay,0.575
87,DodgerLoopGame,0.2391
88,DodgerLoopWeekend,0.1304
89,EOGHorizontalSignal,0.5691
90,EOGVerticalSignal,0.6464
91,EthanolLevel,0.734
92,FreezerRegularTrain,0.2
93,FreezerSmallTrain,0.3249
94,Fungi,0.1989
95,GunPointAgeSpan,0.0665
96,GunPointMaleVersusFemale,0.0063
97,GunPointOldVersusYoung,0.0
98,HouseTwenty,0.3445
99,InsectEPGRegularTrain,0.0
100,InsectEPGSmallTrain,0.0
101,MelbournePedestrian,0.132
102,MixedShapesSmallTrain,0.2722
103,PigAirwayPressure,0.8413
104,PigArtPressure,0.7115
105,PigCVP,0.8221
106,PowerCons,0.0667
107,Rock,0.48
108,SemgHandGenderCh2,0.1583
109,SemgHandMovementCh2,0.4311
110,SemgHandSubjectCh2,0.3511
111,SmoothSubspace,0.2467
112,UMD,0.1319
