,Names
0,Adiac
1,ArrowHead
2,Car
3,CBF
4,CricketX
5,CricketY
6,CricketZ
7,DiatomSizeReduction
8,DistalPhalanxTW
9,Earthquakes
10,ECG5000
11,ElectricDevices
12,FaceAll
13,FaceFour
14,FacesUCR
15,FiftyWords
16,Fish
17,InlineSkate
18,LargeKitchenAppliances
19,Lightning7
20,Mallat
21,MedicalImages
22,NonInvasiveFetalECGThorax1
23,NonInvasiveFetalECGThorax2
24,OSULeaf
25,Phoneme
26,Plane
27,ProximalPhalanxTW
28,ShapesAll
29,SmallKitchenAppliances
30,SwedishLeaf
31,Symbols
32,SyntheticControl
33,Trace
34,TwoPatterns
35,UWaveGestureLibraryAll
36,UWaveGestureLibraryX
37,UWaveGestureLibraryY
38,UWaveGestureLibraryZ
39,WordSynonyms
40,ACSF1
41,Crop
42,DodgerLoopDay
43,DodgerLoopGame
44,DodgerLoopWeekend
45,EOGVerticalSignal
46,Fungi
47,HouseTwenty
48,InsectEPGRegularTrain
49,InsectEPGSmallTrain
50,MelbournePedestrian
51,MixedShapesSmallTrain
52,PigAirwayPressure
53,PigArtPressure
54,PigCVP
55,Rock
56,SemgHandMovementCh2
57,SemgHandSubjectCh2
58,SmoothSubspace
59,UMD
