,Name,Ed
0,Adiac,0.9412
1,ArrowHead,0.28
2,Beef,-1.0
3,BeetleFly,-0.2
4,BirdChicken,0.05
5,Car,0.5
6,CBF,0.3333
7,ChlorineConcentration,0.218
8,Coffee,-0.9286
9,Computers,-0.004
10,CricketX,0.8487
11,CricketY,0.8026
12,CricketZ,0.8385
13,DiatomSizeReduction,0.4052
14,DistalPhalanxOutlineAgeGroup,0.1799
15,DistalPhalanxOutlineCorrect,0.0036
16,DistalPhalanxTW,0.4676
17,Earthquakes,0.4964
18,ECG200,-0.23
19,ECG5000,0.144
20,ECGFiveDays,0.0244
21,ElectricDevices,0.6461
22,FaceAll,0.8834
23,FaceFour,0.4205
24,FacesUCR,0.8688
25,FiftyWords,0.8835
26,Fish,0.7771
27,FordA,0.0053
28,FordB,-0.0247
29,GunPoint,-0.0333
30,Ham,-0.0571
31,HandOutlines,0.0486
32,Haptics,0.5422
33,Herring,0.0
34,InlineSkate,0.7491
35,ItalyPowerDemand,-0.0165
36,LargeKitchenAppliances,0.3787
37,Lightning2,0.0
38,Lightning7,0.7397
39,Mallat,0.7561
40,Meat,-1.0
41,MedicalImages,0.3737
42,MiddlePhalanxOutlineAgeGroup,0.4221
43,MiddlePhalanxOutlineCorrect,-0.0378
44,MiddlePhalanxTW,0.4545
45,MoteStrain,-0.0248
46,NonInvasiveFetalECGThorax1,0.9537
47,NonInvasiveFetalECGThorax2,0.9608
48,OliveOil,-0.8667
49,OSULeaf,0.6281
50,PhalangesOutlinesCorrect,-0.0548
51,Phoneme,0.9562
52,Plane,0.7238
53,ProximalPhalanxOutlineAgeGroup,0.1463
54,ProximalPhalanxOutlineCorrect,-0.1924
55,ProximalPhalanxTW,0.5122
56,RefrigerationDevices,0.384
57,ScreenType,0.352
58,ShapeletSim,-0.0278
59,ShapesAll,0.96
60,SmallKitchenAppliances,0.3333
61,SonyAIBORobotSurface1,0.0549
62,SonyAIBORobotSurface2,-0.0315
63,Strawberry,0.0162
64,SwedishLeaf,0.8784
65,Symbols,0.6342
66,SyntheticControl,0.54
67,ToeSegmentation1,0.0044
68,ToeSegmentation2,-0.1154
69,Trace,0.57
70,TwoLeadECG,0.0255
71,TwoPatterns,0.5082
72,UWaveGestureLibraryAll,0.7549
73,UWaveGestureLibraryX,0.7473
74,UWaveGestureLibraryY,0.7552
75,UWaveGestureLibraryZ,0.756
76,Wafer,-0.7362
77,Wine,-0.6481
78,WordSynonyms,0.8495
79,Worms,0.4416
80,WormsTwoClass,-0.1299
81,Yoga,0.0343
82,ACSF1,0.73
83,BME,-1.0
84,Chinatown,-0.2245
85,Crop,0.8143
86,DodgerLoopDay,1.0
87,DodgerLoopGame,1.0
88,DodgerLoopWeekend,1.0
89,EOGHorizontalSignal,-0.1022
90,EOGVerticalSignal,0.7238
91,EthanolLevel,0.46
92,FreezerRegularTrain,-0.0375
93,FreezerSmallTrain,-0.0053
94,Fungi,0.914
95,GunPointAgeSpan,0.0
96,GunPointMaleVersusFemale,-0.0285
97,GunPointOldVersusYoung,0.0063
98,HouseTwenty,0.084
99,InsectEPGRegularTrain,0.5462
100,InsectEPGSmallTrain,0.49
101,MelbournePedestrian,0.7257
102,MixedShapesSmallTrain,0.7579
103,PigAirwayPressure,0.9663
104,PigArtPressure,0.9663
105,PigCVP,0.9712
106,PowerCons,0.0444
107,Rock,0.36
108,SemgHandGenderCh2,0.06
109,SemgHandMovementCh2,0.5711
110,SemgHandSubjectCh2,0.3956
111,SmoothSubspace,0.2333
112,UMD,0.5556
