,Name,Ed,DTW(learned_w),DTW
0,Adiac,0.977,0.9719,0.9719
1,ArrowHead,0.6343,0.6343,0.6286
2,Beef,0.6333,0.6333,0.5667
3,BeetleFly,0.35,0.3,0.3
4,BirdChicken,0.25,0.15,0.15
5,Car,0.85,0.8,0.8
6,CBF,0.67,0.6689,0.6722
7,ChlorineConcentration,0.5836,0.5836,0.5289
8,Coffee,0.6429,0.6429,0.5357
9,Computers,0.516,0.568,0.568
10,CricketX,0.9026,0.9128,0.9128
11,CricketY,0.9103,0.9205,0.9205
12,CricketZ,0.9282,0.9256,0.9282
13,DiatomSizeReduction,0.7124,0.7124,0.7157
14,DistalPhalanxOutlineAgeGroup,0.5755,0.5755,0.554
15,DistalPhalanxOutlineCorrect,0.4964,0.4565,0.4928
16,DistalPhalanxTW,0.7698,0.7698,0.741
17,Earthquakes,0.4532,0.3813,0.3885
18,ECG200,0.44,0.44,0.42
19,ECG5000,0.5967,0.6036,0.5733
20,ECGFiveDays,0.489,0.489,0.5064
21,ElectricDevices,0.8204,0.8248,0.8204
22,FaceAll,0.8982,0.929,0.9349
23,FaceFour,0.7727,0.7614,0.7614
24,FacesUCR,0.922,0.9088,0.9132
25,FiftyWords,0.9714,0.9626,0.9626
26,Fish,0.7886,0.8286,0.8229
27,FordA,0.4947,0.4992,0.5098
28,FordB,0.4901,0.5099,0.5074
29,GunPoint,0.5867,0.5867,0.5667
30,Ham,0.5619,0.5619,0.5714
31,HandOutlines,0.4973,0.4973,0.4757
32,Haptics,0.8247,0.8344,0.8084
33,Herring,0.4219,0.375,0.375
34,InlineSkate,0.8727,0.8745,0.8745
35,ItalyPowerDemand,0.4626,0.4626,0.4917
36,LargeKitchenAppliances,0.6533,0.6293,0.6293
37,Lightning2,0.4262,0.459,0.459
38,Lightning7,0.8219,0.8356,0.8493
39,Mallat,0.8733,0.8733,0.8763
40,Meat,0.4167,0.4167,0.5
41,MedicalImages,0.7408,0.6974,0.7
42,MiddlePhalanxOutlineAgeGroup,0.7208,0.7208,0.7078
43,MiddlePhalanxOutlineCorrect,0.488,0.488,0.5292
44,MiddlePhalanxTW,0.7662,0.7792,0.8052
45,MoteStrain,0.5256,0.5343,0.5312
46,NonInvasiveFetalECGThorax1,0.9771,0.9751,0.973
47,NonInvasiveFetalECGThorax2,0.9761,0.9817,0.9807
48,OliveOil,0.7333,0.7333,0.5667
49,OSULeaf,0.7934,0.8388,0.8388
50,PhalangesOutlinesCorrect,0.4464,0.4452,0.4452
51,Phoneme,0.9763,0.9784,0.9773
52,Plane,0.8952,0.9143,0.9143
53,ProximalPhalanxOutlineAgeGroup,0.5659,0.5707,0.561
54,ProximalPhalanxOutlineCorrect,0.4605,0.3883,0.4192
55,ProximalPhalanxTW,0.6537,0.6634,0.6927
56,RefrigerationDevices,0.6827,0.7067,0.704
57,ScreenType,0.624,0.6187,0.616
58,ShapeletSim,0.4333,0.5167,0.4778
59,ShapesAll,0.92,0.9417,0.9417
60,SmallKitchenAppliances,0.7147,0.6213,0.6213
61,SonyAIBORobotSurface1,0.5524,0.5524,0.5474
62,SonyAIBORobotSurface2,0.383,0.383,0.383
63,Strawberry,0.5,0.5,0.5081
64,SwedishLeaf,0.9248,0.9344,0.944
65,Symbols,0.8432,0.8422,0.8422
66,SyntheticControl,0.7933,0.8233,0.8033
67,ToeSegmentation1,0.4474,0.5044,0.5
68,ToeSegmentation2,0.3615,0.5385,0.5462
69,Trace,0.8,0.76,0.72
70,TwoLeadECG,0.5092,0.4899,0.4811
71,TwoPatterns,0.7412,0.7532,0.7515
72,UWaveGestureLibraryAll,0.8769,0.8749,0.8747
73,UWaveGestureLibraryX,0.8766,0.8719,0.8733
74,UWaveGestureLibraryY,0.8844,0.8788,0.8791
75,UWaveGestureLibraryZ,0.8772,0.8766,0.8772
76,Wafer,0.1932,0.1533,0.1551
77,Wine,0.5,0.5,0.4815
78,WordSynonyms,0.9357,0.9279,0.9279
79,Worms,0.6883,0.6753,0.6623
80,WormsTwoClass,0.4935,0.4935,0.4935
81,Yoga,0.5053,0.5137,0.5137
82,ACSF1,0.76,0.69,0.69
83,BME,0.0,0.0,0.0
84,Chinatown,0.5102,0.5102,0.3994
85,Crop,0.9494,0.9494,0.9477
86,DodgerLoopDay,1.0,1.0,1.0
87,DodgerLoopGame,1.0,1.0,1.0
88,DodgerLoopWeekend,1.0,1.0,1.0
89,EOGHorizontalSignal,0.9006,0.9199,0.9199
90,EOGVerticalSignal,0.9033,0.9199,0.9199
91,EthanolLevel,0.776,0.748,0.75
92,FreezerRegularTrain,0.5172,0.5144,0.4968
93,FreezerSmallTrain,0.5025,0.5025,0.5081
94,Fungi,0.8925,0.8925,0.8548
95,GunPointAgeSpan,0.5285,0.5316,0.5316
96,GunPointMaleVersusFemale,0.4367,0.4367,0.4652
97,GunPointOldVersusYoung,0.4825,0.4984,0.5079
98,HouseTwenty,0.4706,0.4622,0.4622
99,InsectEPGRegularTrain,0.4819,0.498,0.498
100,InsectEPGSmallTrain,0.5141,0.5181,0.5181
101,MelbournePedestrian,1.0,1.0,1.0
102,MixedShapesSmallTrain,0.8454,0.8379,0.8379
103,PigAirwayPressure,0.9279,0.9471,0.9471
104,PigArtPressure,0.976,0.9423,0.9423
105,PigCVP,0.9519,0.9471,0.9471
106,PowerCons,0.45,0.5278,0.4889
107,Rock,0.66,0.66,0.66
108,SemgHandGenderCh2,0.465,0.525,0.5433
109,SemgHandMovementCh2,0.8511,0.8156,0.8511
110,SemgHandSubjectCh2,0.8044,0.7978,0.7956
111,SmoothSubspace,0.6333,0.6333,0.7133
112,UMD,0.7708,0.5972,0.6042
