,Name,Ed,DTW(learned_w),DTW
0,Adiac,0.3887,0.3913,0.3964
1,ArrowHead,0.2,0.2,0.2971
2,Beef,0.3333,0.3333,0.3667
3,BeetleFly,0.25,0.3,0.3
4,BirdChicken,0.45,0.3,0.25
5,Car,0.2667,0.2333,0.2667
6,CBF,0.1478,0.0056,0.0033
7,ChlorineConcentration,0.35,0.35,0.3516
8,Coffee,0.0,0.0,0.0
9,Computers,0.424,0.388,0.3
10,CricketX,0.4231,0.2282,0.2462
11,CricketY,0.4333,0.2385,0.2564
12,CricketZ,0.4128,0.2538,0.2462
13,DiatomSizeReduction,0.0654,0.0654,0.0327
14,DistalPhalanxOutlineAgeGroup,0.3741,0.3741,0.2302
15,DistalPhalanxOutlineCorrect,0.2826,0.2754,0.2826
16,DistalPhalanxTW,0.3669,0.3669,0.4101
17,Earthquakes,0.2878,0.2734,0.2806
18,ECG200,0.12,0.12,0.23
19,ECG5000,0.0751,0.0749,0.0756
20,ECGFiveDays,0.2033,0.2033,0.2323
21,ElectricDevices,0.4492,0.3791,0.4041
22,FaceAll,0.2864,0.1917,0.1923
23,FaceFour,0.2159,0.1136,0.1705
24,FacesUCR,0.2307,0.0878,0.0951
25,FiftyWords,0.3692,0.2352,0.3099
26,Fish,0.2171,0.1543,0.1771
27,FordA,0.3348,0.3091,0.4455
28,FordB,0.3938,0.3926,0.3802
29,GunPoint,0.0867,0.0867,0.0933
30,Ham,0.4,0.4,0.5333
31,HandOutlines,0.1378,0.1378,0.1189
32,Haptics,0.6299,0.5877,0.6234
33,Herring,0.4844,0.4688,0.4688
34,InlineSkate,0.6582,0.6127,0.6164
35,ItalyPowerDemand,0.0447,0.0447,0.0496
36,LargeKitchenAppliances,0.5067,0.2053,0.2053
37,Lightning2,0.2459,0.1311,0.1311
38,Lightning7,0.4247,0.2877,0.274
39,Mallat,0.0857,0.0857,0.0661
40,Meat,0.0667,0.0667,0.0667
41,MedicalImages,0.3158,0.2526,0.2632
42,MiddlePhalanxOutlineAgeGroup,0.4805,0.4805,0.5
43,MiddlePhalanxOutlineCorrect,0.2337,0.2337,0.3024
44,MiddlePhalanxTW,0.487,0.4935,0.4935
45,MoteStrain,0.1214,0.1342,0.1653
46,NonInvasiveFetalECGThorax1,0.171,0.1893,0.2097
47,NonInvasiveFetalECGThorax2,0.1201,0.1252,0.1354
48,OliveOil,0.1333,0.1333,0.1667
49,OSULeaf,0.4793,0.3884,0.4091
50,PhalangesOutlinesCorrect,0.2389,0.2389,0.2716
51,Phoneme,0.8908,0.7732,0.7716
52,Plane,0.0381,0.0,0.0
53,ProximalPhalanxOutlineAgeGroup,0.2146,0.2146,0.1951
54,ProximalPhalanxOutlineCorrect,0.1924,0.2096,0.2165
55,ProximalPhalanxTW,0.2927,0.2439,0.2439
56,RefrigerationDevices,0.6053,0.56,0.536
57,ScreenType,0.64,0.5893,0.6027
58,ShapeletSim,0.4611,0.3,0.35
59,ShapesAll,0.2483,0.1983,0.2317
60,SmallKitchenAppliances,0.6587,0.328,0.3573
61,SonyAIBORobotSurface1,0.3045,0.3045,0.2745
62,SonyAIBORobotSurface2,0.1406,0.1406,0.1689
63,Strawberry,0.0541,0.0541,0.0595
64,SwedishLeaf,0.2112,0.1536,0.208
65,Symbols,0.1005,0.0623,0.0503
66,SyntheticControl,0.12,0.0167,0.0067
67,ToeSegmentation1,0.3202,0.25,0.2281
68,ToeSegmentation2,0.1923,0.0923,0.1615
69,Trace,0.24,0.01,0.0
70,TwoLeadECG,0.2529,0.1449,0.0957
71,TwoPatterns,0.0933,0.0028,0.0
72,UWaveGestureLibraryAll,0.0519,0.0343,0.1083
73,UWaveGestureLibraryX,0.2607,0.2267,0.2725
74,UWaveGestureLibraryY,0.3384,0.3009,0.366
75,UWaveGestureLibraryZ,0.3504,0.3222,0.3417
76,Wafer,0.0045,0.0045,0.0201
77,Wine,0.3889,0.3889,0.4259
78,WordSynonyms,0.3824,0.2508,0.3511
79,Worms,0.5455,0.4675,0.4156
80,WormsTwoClass,0.3896,0.4156,0.3766
81,Yoga,0.1697,0.156,0.1637
82,ACSF1,0.46,0.38,0.36
83,BME,0.0,0.0,0.0
84,Chinatown,0.0554,0.0554,0.0262
85,Crop,0.2718,0.2718,0.3223
86,DodgerLoopDay,0.475,0.4625,0.5625
87,DodgerLoopGame,0.1884,0.1812,0.1739
88,DodgerLoopWeekend,0.1014,0.1014,0.1304
89,EOGHorizontalSignal,0.558,0.5497,0.558
90,EOGVerticalSignal,0.6381,0.5801,0.5663
91,EthanolLevel,0.726,0.718,0.724
92,FreezerRegularTrain,0.1951,0.1074,0.1011
93,FreezerSmallTrain,0.3242,0.3242,0.2411
94,Fungi,0.1613,0.1613,0.2043
95,GunPointAgeSpan,0.0316,0.0063,0.0158
96,GunPointMaleVersusFemale,0.0063,0.0063,0.0158
97,GunPointOldVersusYoung,0.0,0.0,0.0
98,HouseTwenty,0.3193,0.1597,0.1597
99,InsectEPGRegularTrain,0.0,0.0,0.0
100,InsectEPGSmallTrain,0.0,0.0,0.0
101,MelbournePedestrian,0.1021,0.1021,0.1665
102,MixedShapesSmallTrain,0.1645,0.1674,0.2202
103,PigAirwayPressure,0.9087,0.8846,0.8173
104,PigArtPressure,0.7115,0.625,0.5192
105,PigCVP,0.8606,0.7019,0.6731
106,PowerCons,0.0222,0.0389,0.0778
107,Rock,0.36,0.36,0.46
108,SemgHandGenderCh2,0.1017,0.055,0.085
109,SemgHandMovementCh2,0.4022,0.1778,0.2156
110,SemgHandSubjectCh2,0.2089,0.1022,0.1267
111,SmoothSubspace,0.0467,0.0467,0.1733
112,UMD,0.1944,0.0417,0.1181
