,Names
0,Adiac
1,BeetleFly
2,BirdChicken
3,ChlorineConcentration
4,Computers
5,DistalPhalanxOutlineAgeGroup
6,DistalPhalanxOutlineCorrect
7,DistalPhalanxTW
8,Earthquakes
9,ECG5000
10,ECGFiveDays
11,FaceAll
12,FordA
13,FordB
14,Ham
15,HandOutlines
16,Haptics
17,Herring
18,MiddlePhalanxOutlineAgeGroup
19,MiddlePhalanxOutlineCorrect
20,MiddlePhalanxTW
21,NonInvasiveFetalECGThorax1
22,NonInvasiveFetalECGThorax2
23,OSULeaf
24,PhalangesOutlinesCorrect
25,ProximalPhalanxOutlineAgeGroup
26,ProximalPhalanxOutlineCorrect
27,ProximalPhalanxTW
28,RefrigerationDevices
29,ScreenType
30,SonyAIBORobotSurface1
31,SonyAIBORobotSurface2
32,SwedishLeaf
33,Worms
34,WormsTwoClass
35,BME
36,EthanolLevel
37,FreezerSmallTrain
38,GunPointOldVersusYoung
39,InsectEPGSmallTrain
40,MelbournePedestrian
41,PigArtPressure
