,Names
0,Adiac
1,ChlorineConcentration
2,DistalPhalanxOutlineAgeGroup
3,DistalPhalanxOutlineCorrect
4,DistalPhalanxTW
5,Earthquakes
6,ECG5000
7,ECGFiveDays
8,ElectricDevices
9,FaceAll
10,FordA
11,FordB
12,Ham
13,HandOutlines
14,Haptics
15,Herring
16,ItalyPowerDemand
17,MiddlePhalanxOutlineAgeGroup
18,MiddlePhalanxOutlineCorrect
19,MiddlePhalanxTW
20,NonInvasiveFetalECGThorax1
21,NonInvasiveFetalECGThorax2
22,PhalangesOutlinesCorrect
23,ProximalPhalanxOutlineAgeGroup
24,ProximalPhalanxOutlineCorrect
25,ProximalPhalanxTW
26,RefrigerationDevices
27,ScreenType
28,SwedishLeaf
29,Worms
30,WormsTwoClass
31,BME
32,Crop
33,EthanolLevel
34,FreezerSmallTrain
35,GunPointOldVersusYoung
36,MelbournePedestrian
37,PowerCons
38,SemgHandGenderCh2
