,Name,Random forest
0,Adiac,0.2941
1,ArrowHead,0.3714
2,Beef,0.3333
3,BeetleFly,0.45
4,BirdChicken,0.35
5,Car,0.4
6,CBF,0.45
7,ChlorineConcentration,0.2664
8,Coffee,0.0357
9,Computers,0.424
10,CricketX,0.6667
11,CricketY,0.5256
12,CricketZ,0.6051
13,DiatomSizeReduction,0.1797
14,DistalPhalanxOutlineAgeGroup,0.2662
15,DistalPhalanxOutlineCorrect,0.221
16,DistalPhalanxTW,0.3094
17,Earthquakes,0.2518
18,ECG200,0.15
19,ECG5000,0.0638
20,ECGFiveDays,0.1998
21,ElectricDevices,0.3657
22,FaceAll,0.1592
23,FaceFour,0.4773
24,FacesUCR,0.3049
25,FiftyWords,0.5824
26,Fish,0.2743
27,FordA,0.0879
28,FordB,0.2667
29,GunPoint,0.2133
30,Ham,0.3524
31,HandOutlines,0.1243
32,Haptics,0.5455
33,Herring,0.4062
34,InlineSkate,0.6927
35,ItalyPowerDemand,0.034
36,LargeKitchenAppliances,0.4053
37,Lightning2,0.5082
38,Lightning7,0.5342
39,Mallat,0.1484
40,Meat,0.1167
41,MedicalImages,0.2829
42,MiddlePhalanxOutlineAgeGroup,0.4351
43,MiddlePhalanxOutlineCorrect,0.189
44,MiddlePhalanxTW,0.4026
45,MoteStrain,0.2684
46,NonInvasiveFetalECGThorax1,0.1613
47,NonInvasiveFetalECGThorax2,0.1181
48,OliveOil,0.1667
49,OSULeaf,0.5372
50,PhalangesOutlinesCorrect,0.1725
51,Phoneme,0.827
52,Plane,0.0381
53,ProximalPhalanxOutlineAgeGroup,0.1463
54,ProximalPhalanxOutlineCorrect,0.1203
55,ProximalPhalanxTW,0.2
56,RefrigerationDevices,0.5467
57,ScreenType,0.5547
58,ShapeletSim,0.4833
59,ShapesAll,0.4317
60,SmallKitchenAppliances,0.5013
61,SonyAIBORobotSurface1,0.3894
62,SonyAIBORobotSurface2,0.1427
63,Strawberry,0.0622
64,SwedishLeaf,0.1408
65,Symbols,0.3116
66,SyntheticControl,0.04
67,ToeSegmentation1,0.4167
68,ToeSegmentation2,0.4077
69,Trace,0.05
70,TwoLeadECG,0.2687
71,TwoPatterns,0.2837
72,UWaveGestureLibraryAll,0.1505
73,UWaveGestureLibraryX,0.318
74,UWaveGestureLibraryY,0.3663
75,UWaveGestureLibraryZ,0.3833
76,Wafer,0.0164
77,Wine,0.5556
78,WordSynonyms,0.6144
79,Worms,0.4026
80,WormsTwoClass,0.2597
81,Yoga,0.3263
82,ACSF1,0.57
83,BME,0.0
84,Chinatown,0.0787
85,Crop,0.2446
86,DodgerLoopDay,0.525
87,DodgerLoopGame,0.2826
88,DodgerLoopWeekend,0.1667
89,EOGHorizontalSignal,0.6685
90,EOGVerticalSignal,0.674
91,EthanolLevel,0.648
92,FreezerRegularTrain,0.1509
93,FreezerSmallTrain,0.3218
94,Fungi,0.4785
95,GunPointAgeSpan,0.1646
96,GunPointMaleVersusFemale,0.1076
97,GunPointOldVersusYoung,0.0
98,HouseTwenty,0.3866
99,InsectEPGRegularTrain,0.2048
100,InsectEPGSmallTrain,0.3494
101,MelbournePedestrian,0.0759
102,MixedShapesSmallTrain,0.2746
103,PigAirwayPressure,0.9279
104,PigArtPressure,0.8173
105,PigCVP,0.9183
106,PowerCons,0.0278
107,Rock,0.48
108,SemgHandGenderCh2,0.1233
109,SemgHandMovementCh2,0.4933
110,SemgHandSubjectCh2,0.3133
111,SmoothSubspace,0.1267
112,UMD,0.1736
