,Name,Random Forest(100)
0,Adiac,0.9821
1,ArrowHead,0.6743
2,Beef,0.0
3,BeetleFly,0.55
4,BirdChicken,0.4
5,Car,0.6667
6,CBF,0.6761
7,ChlorineConcentration,0.4824
8,Coffee,0.0536
9,Computers,0.488
10,CricketX,0.9167
11,CricketY,0.9205
12,CricketZ,0.9205
13,DiatomSizeReduction,0.6977
14,DistalPhalanxOutlineAgeGroup,0.5396
15,DistalPhalanxOutlineCorrect,0.4348
16,DistalPhalanxTW,0.6942
17,Earthquakes,0.259
18,ECG200,0.41
19,ECG5000,0.4363
20,ECGFiveDays,0.5041
21,ElectricDevices,0.7561
22,FaceAll,0.8219
23,FaceFour,0.7443
24,FacesUCR,0.8785
25,FiftyWords,0.8802
26,Fish,0.8629
27,FordA,0.4951
28,FordB,0.4938
29,GunPoint,0.5333
30,Ham,0.419
31,HandOutlines,0.3838
32,Haptics,0.8052
33,Herring,0.3828
34,InlineSkate,0.8282
35,ItalyPowerDemand,0.4791
36,LargeKitchenAppliances,0.4067
37,Lightning2,0.4508
38,Lightning7,0.8356
39,Mallat,0.8682
40,Meat,0.0167
41,MedicalImages,0.4914
42,MiddlePhalanxOutlineAgeGroup,0.8052
43,MiddlePhalanxOutlineCorrect,0.4502
44,MiddlePhalanxTW,0.7305
45,MoteStrain,0.4904
46,NonInvasiveFetalECGThorax1,0.9753
47,NonInvasiveFetalECGThorax2,0.9786
48,OliveOil,0.0833
49,OSULeaf,0.8223
50,PhalangesOutlinesCorrect,0.3998
51,Phoneme,0.8684
52,Plane,0.8619
53,ProximalPhalanxOutlineAgeGroup,0.5146
54,ProximalPhalanxOutlineCorrect,0.3179
55,ProximalPhalanxTW,0.6488
56,RefrigerationDevices,0.4253
57,ScreenType,0.468
58,ShapeletSim,0.5278
59,ShapesAll,0.8358
60,SmallKitchenAppliances,0.3347
61,SonyAIBORobotSurface1,0.5607
62,SonyAIBORobotSurface2,0.436
63,Strawberry,0.4351
64,SwedishLeaf,0.9304
65,Symbols,0.8322
66,SyntheticControl,0.6983
67,ToeSegmentation1,0.5154
68,ToeSegmentation2,0.5
69,Trace,0.785
70,TwoLeadECG,0.4921
71,TwoPatterns,0.7498
72,UWaveGestureLibraryAll,0.8741
73,UWaveGestureLibraryX,0.8734
74,UWaveGestureLibraryY,0.8773
75,UWaveGestureLibraryZ,0.8723
76,Wafer,0.1088
77,Wine,0.0648
78,WordSynonyms,0.7845
79,Worms,0.5195
80,WormsTwoClass,0.4156
81,Yoga,0.4942
82,ACSF1,0.835
83,BME,0.0
84,Chinatown,0.3149
85,Crop,0.8502
86,DodgerLoopDay,0.7562
87,DodgerLoopGame,0.5145
88,DodgerLoopWeekend,0.5543
89,EOGHorizontalSignal,0.4323
90,EOGVerticalSignal,0.6685
91,EthanolLevel,0.726
92,FreezerRegularTrain,0.4956
93,FreezerSmallTrain,0.4995
94,Fungi,0.8522
95,GunPointAgeSpan,0.3623
96,GunPointMaleVersusFemale,0.3766
97,GunPointOldVersusYoung,0.3349
98,HouseTwenty,0.4748
99,InsectEPGRegularTrain,0.4558
100,InsectEPGSmallTrain,0.4277
101,MelbournePedestrian,0.662
102,MixedShapesSmallTrain,0.6602
103,PigAirwayPressure,0.9038
104,PigArtPressure,0.9038
105,PigCVP,0.9135
106,PowerCons,0.4694
107,Rock,0.36
108,SemgHandGenderCh2,0.4983
109,SemgHandMovementCh2,0.6711
110,SemgHandSubjectCh2,0.6144
111,SmoothSubspace,0.5967
112,UMD,0.441
