,Names
0,Adiac
1,Beef
2,BirdChicken
3,ChlorineConcentration
4,Computers
5,DistalPhalanxOutlineAgeGroup
6,DistalPhalanxOutlineCorrect
7,DistalPhalanxTW
8,Earthquakes
9,ECG5000
10,ECGFiveDays
11,ElectricDevices
12,FaceAll
13,FordA
14,FordB
15,HandOutlines
16,Haptics
17,Herring
18,ItalyPowerDemand
19,MiddlePhalanxOutlineAgeGroup
20,MiddlePhalanxOutlineCorrect
21,MiddlePhalanxTW
22,NonInvasiveFetalECGThorax1
23,NonInvasiveFetalECGThorax2
24,OSULeaf
25,PhalangesOutlinesCorrect
26,ProximalPhalanxOutlineAgeGroup
27,ProximalPhalanxOutlineCorrect
28,ProximalPhalanxTW
29,RefrigerationDevices
30,ScreenType
31,SonyAIBORobotSurface1
32,SonyAIBORobotSurface2
33,SwedishLeaf
34,Worms
35,WormsTwoClass
36,BME
37,Crop
38,EthanolLevel
39,FreezerSmallTrain
40,GunPointOldVersusYoung
41,InsectEPGSmallTrain
42,MelbournePedestrian
43,MixedShapesSmallTrain
44,PigArtPressure
45,PowerCons
46,SemgHandGenderCh2
