,Name,Random forest(error)
0,Adiac,0.2481
1,ArrowHead,0.4971
2,Beef,0.2667
3,BeetleFly,0.45
4,BirdChicken,0.15
5,Car,0.3833
6,CBF,0.46
7,ChlorineConcentration,0.274
8,Coffee,0.0357
9,Computers,0.376
10,CricketX,0.5385
11,CricketY,0.5513
12,CricketZ,0.5538
13,DiatomSizeReduction,0.2026
14,DistalPhalanxOutlineAgeGroup,0.2878
15,DistalPhalanxOutlineCorrect,0.2391
16,DistalPhalanxTW,0.3381
17,Earthquakes,0.2518
18,ECG200,0.19
19,ECG5000,0.0633
20,ECGFiveDays,0.0197
21,ElectricDevices,0.3727
22,FaceAll,0.1568
23,FaceFour,0.5455
24,FacesUCR,0.279
25,FiftyWords,0.5429
26,Fish,0.2629
27,FordA,0.0614
28,FordB,0.2284
29,GunPoint,0.1467
30,Ham,0.419
31,HandOutlines,0.1054
32,Haptics,0.5714
33,Herring,0.4219
34,InlineSkate,0.6509
35,ItalyPowerDemand,0.0418
36,LargeKitchenAppliances,0.2667
37,Lightning2,0.4262
38,Lightning7,0.5342
39,Mallat,0.1377
40,Meat,0.1167
41,MedicalImages,0.275
42,MiddlePhalanxOutlineAgeGroup,0.4221
43,MiddlePhalanxOutlineCorrect,0.1856
44,MiddlePhalanxTW,0.4221
45,MoteStrain,0.3059
46,NonInvasiveFetalECGThorax1,0.1567
47,NonInvasiveFetalECGThorax2,0.1089
48,OliveOil,0.1333
49,OSULeaf,0.3347
50,PhalangesOutlinesCorrect,0.19
51,Phoneme,0.8059
52,Plane,0.0095
53,ProximalPhalanxOutlineAgeGroup,0.1659
54,ProximalPhalanxOutlineCorrect,0.1271
55,ProximalPhalanxTW,0.2049
56,RefrigerationDevices,0.512
57,ScreenType,0.512
58,ShapeletSim,0.4611
59,ShapesAll,0.305
60,SmallKitchenAppliances,0.3573
61,SonyAIBORobotSurface1,0.2945
62,SonyAIBORobotSurface2,0.1343
63,Strawberry,0.0595
64,SwedishLeaf,0.0848
65,Symbols,0.3417
66,SyntheticControl,0.02
67,ToeSegmentation1,0.3596
68,ToeSegmentation2,0.3231
69,Trace,0.04
70,TwoLeadECG,0.1721
71,TwoPatterns,0.2668
72,UWaveGestureLibraryAll,0.1323
73,UWaveGestureLibraryX,0.3177
74,UWaveGestureLibraryY,0.3618
75,UWaveGestureLibraryZ,0.3814
76,Wafer,0.0114
77,Wine,0.4444
78,WordSynonyms,0.5846
79,Worms,0.3247
80,WormsTwoClass,0.2208
81,Yoga,0.3197
82,ACSF1,0.42
83,BME,0.0
84,Chinatown,0.0641
85,Crop,0.2502
86,DodgerLoopDay,0.575
87,DodgerLoopGame,0.2319
88,DodgerLoopWeekend,0.1232
89,EOGHorizontalSignal,0.6271
90,EOGVerticalSignal,0.6492
91,EthanolLevel,0.636
92,FreezerRegularTrain,0.147
93,FreezerSmallTrain,0.2754
94,Fungi,0.5161
95,GunPointAgeSpan,0.1266
96,GunPointMaleVersusFemale,0.0316
97,GunPointOldVersusYoung,0.0
98,HouseTwenty,0.2269
99,InsectEPGRegularTrain,0.1807
100,InsectEPGSmallTrain,0.2932
101,MelbournePedestrian,0.0779
102,MixedShapesSmallTrain,0.1608
103,PigAirwayPressure,0.9038
104,PigArtPressure,0.7885
105,PigCVP,0.8846
106,PowerCons,0.0278
107,Rock,0.46
108,SemgHandGenderCh2,0.1267
109,SemgHandMovementCh2,0.4933
110,SemgHandSubjectCh2,0.3533
111,SmoothSubspace,0.14
112,UMD,0.2083
