,Name,ed_phase_amp,rf_phase_amp,lr_phase_amp,ed_real_imag,rf_real_imag,lr_real_imag,ed_real_imag_phase_amp,rf_real_imag_phase_amp,lr_real_imag_phase_amp,DTW_Nearest_Neighbour
0,Adiac,0.7256,0.2609,0.6957,0.3231,0.2864,0.2455,0.5974,0.2455,0.5831,0.3913
1,ArrowHead,0.1111,0.5086,0.2743,0.0556,0.3714,0.24,0.0556,0.3886,0.24,0.2
2,Beef,0.1667,0.3,0.1333,0.3,0.2333,0.1333,0.3,0.2667,0.1333,0.3333
3,BeetleFly,0.2,0.05,0.25,0.35,0.55,0.2,0.15,0.15,0.1,0.3
4,BirdChicken,0.1,0.05,0.4,0.25,0.4,0.25,0.2,0.05,0.25,0.3
5,Car,0.3667,0.3,0.4333,0.3333,0.3167,0.1667,0.2833,0.2833,0.1667,0.2333
6,CBF,0.4,0.4533,0.4433,0.0333,0.4211,0.1467,0.0333,0.4156,0.1189,0.0044
7,ChlorineConcentration,0.0236,0.2747,0.3089,0.0043,0.2622,0.1516,0.0107,0.2651,0.2008,0.35
8,Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357,0.0,0.0
9,Computers,0.392,0.356,0.368,0.44,0.372,0.504,0.464,0.348,0.408,0.38
10,CricketX,0.3897,0.5462,0.4949,0.441,0.5744,0.7487,0.4128,0.5282,0.4385,0.2282
11,CricketY,0.4333,0.5051,0.5282,0.4615,0.4795,0.6538,0.4308,0.4179,0.4615,0.241
12,CricketZ,0.3846,0.4795,0.4718,0.4308,0.5795,0.7538,0.3692,0.459,0.4128,0.2538
13,DiatomSizeReduction,0.0,0.1569,0.1078,0.0,0.1405,0.0458,0.0,0.1373,0.0523,0.0654
14,DistalPhalanxOutlineAgeGroup,0.2275,0.259,0.3597,0.2175,0.2662,0.3237,0.2425,0.259,0.3453,0.3741
15,DistalPhalanxOutlineCorrect,0.29,0.2319,0.2754,0.2483,0.2283,0.3333,0.26,0.2283,0.2609,0.2754
16,DistalPhalanxTW,0.2875,0.3237,0.3957,0.2725,0.3381,0.3957,0.2775,0.3381,0.3885,0.3669
17,Earthquakes,0.3043,0.2518,0.3309,0.3261,0.2518,0.3381,0.3168,0.2518,0.259,0.2734
18,ECG200,0.11,0.19,0.13,0.13,0.18,0.16,0.11,0.17,0.16,0.12
19,ECG5000,0.054,0.0691,0.0889,0.06,0.0636,0.08,0.06,0.0644,0.07,0.0749
20,ECGFiveDays,0.0,0.0023,0.0,0.0,0.2125,0.0337,0.0,0.0197,0.0012,0.2033
21,ElectricDevices,0.4613,0.3811,0.4534,0.4371,0.3629,0.5274,0.4331,0.3652,0.4256,0.3806
22,FaceAll,0.0982,0.1592,0.203,0.0982,0.145,0.2166,0.0875,0.1402,0.145,0.1917
23,FaceFour,0.0833,0.5227,0.2159,0.0833,0.5455,0.1591,0.0833,0.5455,0.1591,0.1136
24,FacesUCR,0.08,0.2771,0.1995,0.045,0.2834,0.2512,0.04,0.2737,0.1717,0.0878
25,FiftyWords,0.5333,0.5516,0.6176,0.3667,0.5582,0.5055,0.3444,0.4901,0.3626,0.2418
26,Fish,0.2743,0.1943,0.2571,0.1714,0.2686,0.1486,0.1943,0.2,0.1486,0.1543
27,FordA,0.1302,0.0682,0.0894,0.341,0.0856,0.4932,0.2444,0.0636,0.1053,0.3091
28,FordB,0.1999,0.221,0.2198,0.4422,0.2642,0.4926,0.3559,0.221,0.2432,0.3926
29,GunPoint,0.1,0.1467,0.16,0.04,0.1467,0.1,0.04,0.12,0.0733,0.0867
30,Ham,0.3211,0.3905,0.3905,0.3211,0.3333,0.4,0.3303,0.3714,0.3905,0.4
31,HandOutlines,0.244,0.1216,0.1676,0.199,0.127,0.1865,0.204,0.1135,0.127,0.1378
32,Haptics,0.5548,0.5325,0.6136,0.5871,0.5422,0.6364,0.5742,0.5455,0.5844,0.5877
33,Herring,0.3906,0.4062,0.3438,0.4375,0.4062,0.3906,0.4688,0.4062,0.3281,0.4688
34,InlineSkate,0.58,0.5945,0.6982,0.5,0.66,0.7491,0.46,0.6091,0.6564,0.6127
35,ItalyPowerDemand,0.0149,0.0437,0.103,0.0299,0.0418,0.0311,0.0149,0.0447,0.0719,0.0447
36,LargeKitchenAppliances,0.296,0.2773,0.4133,0.4933,0.3253,0.6427,0.4613,0.2773,0.424,0.2053
37,Lightning2,0.2833,0.459,0.2131,0.2,0.5246,0.3934,0.2,0.459,0.2951,0.1311
38,Lightning7,0.4429,0.5342,0.4521,0.4571,0.5616,0.3836,0.4429,0.4932,0.3425,0.2877
39,Mallat,0.0182,0.1407,0.0746,0.0182,0.1467,0.084,0.0182,0.1412,0.0695,0.0857
40,Meat,0.2167,0.1333,0.1333,0.05,0.1167,0.0833,0.0833,0.1167,0.0667,0.0667
41,MedicalImages,0.2782,0.2987,0.4132,0.2677,0.2803,0.3921,0.2546,0.2724,0.3553,0.2526
42,MiddlePhalanxOutlineAgeGroup,0.2775,0.4091,0.6104,0.26,0.461,0.4026,0.2675,0.4221,0.5519,0.4805
43,MiddlePhalanxOutlineCorrect,0.39,0.1993,0.2852,0.2467,0.1821,0.3814,0.3617,0.1959,0.2749,0.2337
44,MiddlePhalanxTW,0.4211,0.4091,0.539,0.4386,0.4026,0.461,0.4286,0.4091,0.5,0.4935
45,MoteStrain,0.1,0.2716,0.2772,0.05,0.2724,0.1302,0.1,0.2891,0.1374,0.1342
46,NonInvasiveFetalECGThorax1,0.2711,0.1379,0.1308,0.1683,0.1476,0.0677,0.1794,0.1323,0.0672,0.1893
47,NonInvasiveFetalECGThorax2,0.1744,0.1008,0.0977,0.1122,0.1038,0.0534,0.1194,0.085,0.059,0.129
